L1,L2,L3,L4,1989,1999,2001,2003,2004,2005,2006,2007,2008,2009,2010
Liquid wholemilk,,,,70,56,56,70,68,59,59,59,125,136,99
Natural cheese,,,,115,103,112,112,113,110,116,119,111,116,118
Beef and veal,,,,329,226,229,230,225,229,226,235,211,212,211
"Chicken, uncooked ",,,,50,75,91,82,103,94,105,105,150,138,126
Tuna,,,,150,146,157,155,156,158,167,165,161,158,151
Other fish,,,,45,33,36,33,27,26,26,24,24,23,20
Eggs,,,,2,2,2,2,2,2,2,2,2,2,2
Margarine,,,,56,56,87,87,118,118,118,118,84,86,92
Mix Vegetable oils,,,,28,8,6,5,5,4,4,3,3,3,3
Sugar ,,,,240,269,255,248,305,277,268,268,278,278,278
Fresh bananas,,,,63,63,63,63,63,63,63,63,63,63,63
Fresh plaintain,,,,55,55,69,69,69,69,95,95,95,95,95
Pre-cooked white corn meal,,,,364,292,309,343,356,347,363,363,383,386,363
Bakery wheat ,,,,172,189,229,229,167,205,130,130,186,180,216
Cooked rice,,,,105,141,145,160,153,195,214,214,217,293,242
Wheat flour Pastas,,,,100,106,99,102,108,94,101,101,91,91,95
Soft drinks,,,,67,66,75,63,73,73,84,84,85,110,109
